Name,Dont Use,Position,Team,Age
Ja'Marr Chase,WR1,WR,CIN,25
Justin Jefferson,WR2,WR,MIN,26
Malik Nabers,WR3,WR,NYG,22
CeeDee Lamb,WR4,WR,DAL,26
Bijan Robinson,RB1,RB,ATL,23
Jahmyr Gibbs,RB2,RB,DET,23
Puka Nacua,WR5,WR,LAR,24
Brian Thomas Jr.,WR6,WR,JAC,22
Ashton Jeanty,RB3,RB,LV,21
Amon-Ra St. Brown,WR7,WR,DET,25
Nico Collins,WR8,WR,HOU,26
Drake London,WR9,WR,ATL,24
Saquon Barkley,RB4,RB,PHI,28
De'Von Achane,RB5,RB,MIA,23
Brock Bowers,TE1,TE,LV,22
Ladd McConkey,WR10,WR,LAC,23
Garrett Wilson,WR11,WR,NYJ,25
Jaxon Smith-Njigba,WR12,WR,SEA,23
A.J. Brown,WR13,WR,PHI,28
Omarion Hampton,RB6,RB,LAC,22
Marvin Harrison Jr.,WR14,WR,ARI,23
Josh Allen,QB1,QB,BUF,29
Tetairoa McMillan,WR15,WR,CAR,22
Bucky Irving,RB7,RB,TB,23
Lamar Jackson,QB2,QB,BAL,28
Breece Hall,RB8,RB,NYJ,24
Trey McBride,TE2,TE,ARI,25
Travis Hunter,WR16,WR,JAC,22
Jonathan Taylor,RB9,RB,IND,26
Tee Higgins,WR17,WR,CIN,26
Jayden Daniels,QB3,QB,WAS,24
Rashee Rice,WR18,WR,KC,25
DeVonta Smith,WR19,WR,PHI,26
Zay Flowers,WR20,WR,BAL,24
Jalen Hurts,QB4,QB,PHI,27
Joe Burrow,QB5,QB,CIN,28
Sam LaPorta,TE3,TE,DET,24
Rome Odunze,WR21,WR,CHI,23
Kyren Williams,RB10,RB,LAR,24
Chase Brown,RB11,RB,CIN,25
DK Metcalf,WR22,WR,PIT,27
Xavier Worthy,WR23,WR,KC,22
James Cook,RB12,RB,BUF,25
Jordan Addison,WR24,WR,MIN,23
TreVeyon Henderson,RB13,RB,NE,22
Patrick Mahomes II,QB6,QB,KC,29
Josh Jacobs,RB14,RB,GB,27
Jaylen Waddle,WR25,WR,MIA,26
Kenneth Walker III,RB15,RB,SEA,24
DJ Moore,WR26,WR,CHI,28
Justin Herbert,QB7,QB,LAC,27
